"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"9","","0","The Internet Guinea Pig Website: As a user, I can log into the secure area","9","1","","0"
"5","","0","Login functionality: User should be able to login with valid credentials","6","0","","0"
"0","","7","","0","0","","0"
"1","","1","Add to Cart functionality: User should be able to add a product to the cart","4","0","","0"
"0","","0","Login functionality for success scenario: User should be able to login with valid credentials","3","0","","0"
"0","","0","Sign up functionality: User should be able to create a new account","0","6","","0"
"0","","0","Login functionality for invalid scenario: As a user, I can log into the secure area","4","0","","0"
"1","","0","Checkout functionality","0","0","","0"
"2","","0","Checkout functionality: User completes a purchase successfully","8","2","","0"
"0","","0","Login functionality for success scenario","1","0","","0"
"0","","1","Add to Cart functionality","0","0","","0"
"0","","0","Sign up functionality","0","1","","0"
"0","","0","Login functionality for invalid scenario","1","0","","0"
