"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","182","When I enter login credentials with email """"roni_cost@example.com"""" and password """"SuperSecretPassword""""","","Fri Apr 18 01:18:53 IST 2025","broken","Fri Apr 18 01:18:53 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","5420","Given I am on the login page","","Fri Apr 18 13:16:28 IST 2025","passed","Fri Apr 18 13:16:34 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","0","hook:","","Sat Apr 19 15:07:39 IST 2025","failed","Sat Apr 19 15:07:39 IST 2025","","","",""
"","3194","When I login with email ""roni_cost@example.com"" and password ""SuperSecretPassword""","","Fri Apr 18 13:16:17 IST 2025","passed","Fri Apr 18 13:16:21 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","12656","When I add ""Hero Hoodie"" from Hot Sellers to the cart with size ""M"", color ""Blue"", and quantity ""2""","","Fri Apr 18 13:43:47 IST 2025","broken","Fri Apr 18 13:44:00 IST 2025","","Add to Cart functionality: User should be able to add a product to the cart","",""
"","6486","Given I am on the login page","","Sat Apr 19 15:07:30 IST 2025","passed","Sat Apr 19 15:07:36 IST 2025","","Login functionality for success scenario: User should be able to login with valid credentials","",""
"","12411","Then I should see a success message confirming the product was added","","Sat Apr 19 15:06:19 IST 2025","passed","Sat Apr 19 15:06:32 IST 2025","","Add to Cart functionality: User should be able to add a product to the cart","",""
"","2957","When I login with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 13:16:34 IST 2025","passed","Fri Apr 18 13:16:37 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","2","When I enter login credentials with email validuser@example.com and password ValidPassword123","","Fri Apr 18 01:21:13 IST 2025","broken","Fri Apr 18 01:21:13 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","1","When I enter login credentials with email anotheruser@example.com and password AnotherPassword1","","Fri Apr 18 01:21:16 IST 2025","broken","Fri Apr 18 01:21:16 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","7","Given I am on the signup page","","Sat Apr 19 15:07:42 IST 2025","skipped","Sat Apr 19 15:07:42 IST 2025","","Sign up functionality: User should be able to create a new account","",""
